Municipios,Gentilico,PIB, no ensino fundamental, no ensino medio,IDEB anos finais,IDEB anos iniciais,Populacao
Água Branca,paraibano,8870.96,87,16,5.7,6.3,9335
Aguiar,paraibano,10689.52,54,14,4.3,4.8,5003
Alagoa Grande,paraibano,10573.42,252,73,4.4,3.8,26062
Alagoa Nova,paraibano,15961.14,159,41,4.5,4.8,21013
Alagoinha,paraibano,9468.2,124,23,4.2,4.5,13725
Alcantil,paraibano,9968.7,44,14,-,5.6,5578
Algodão de Jandaíra,paraibano,11062.36,25,9,-,-,2953
Alhandra,paraibano,171143.98,277,116,4.4,4.2,21730
Amparo,paraibano,13000.44,30,7,4.7,5,2234
Aparecida,paraibano,12405.76,78,14,4.5,5.7,7960
Araçagi,paraibano,11026.72,143,42,4,3.9,16646
Arara,paraibano,8250.02,115,40,4.8,4.7,12212
Araruna,paraibano,9912.59,184,40,4.2,4.8,17189
Areia,paraibano,11435.64,225,93,4.3,5,22633
Areia de Baraúnas,paraibano,12396.9,17,7,-,-,2005
Areial,paraibano,8871.24,70,21,4.7,5.6,7128
Aroeiras,paraibano,8803.78,210,62,4.2,4.4,18705
Assunção,paraibano,11924.64,38,10,5.1,4.7,4152
Baía da Traição,paraibano,11727.05,134,42,4.3,-,9224
Bananeiras,paraibano,13143.47,185,121,-,4.9,23134
Baraúna,paraibano,9891.45,37,10,-,5.3,4762
Barra de Santa Rosa,paraibano,9665.19,99,27,-,5.8,12904
Barra de Santana,paraibano,10889.99,84,29,-,5.1,8059
Barra de São Miguel,paraibano,13915.49,64,15,4.5,5.4,5906
Bayeux,paraibano,14016.16,684,291,4,4.2,82742
Belém,paraibano,12297.24,154,46,4.3,4.7,16401
Belém do Brejo do Cruz,paraibano,10679.3,58,27,4.8,5.2,6268
Bernardino Batista,paraibano,11211.72,44,8,4.6,5.5,3504
Boa Ventura,paraibano,9835.17,51,13,4.1,4.3,5207
Boa Vista,paraibano,28593.35,57,13,4.7,6,6377
Bom Jesus,paraibano,12384.4,24,7,4.7,4.5,2286
Bom Sucesso,paraibano,11041.7,46,10,4.8,5.1,4661
Bonito de Santa Fé,paraibano,7962.14,93,13,4.1,4.8,10252
Boqueirão,paraibano,14310.05,170,52,4,5.1,17598
Borborema,paraibano,13030.55,66,15,3.7,4.7,4214
Brejo do Cruz,paraibano,10299.88,95,31,4.9,5.2,13613
Brejo dos Santos,paraibano,9926.14,58,16,4.5,4.8,5742
Caaporã,paraibano,21157.09,169,43,3.5,4,21193
Cabaceiras,paraibano,20400.58,45,20,5.4,6.6,5335
Cabedelo,paraibano,45182.89,429,205,4.4,4.9,66519
Cachoeira dos Índios,paraibano,12042.75,78,25,4.7,-,9151
Cacimba de Areia,paraibano,10546.32,32,7,-,-,3291
Cacimba de Dentro,paraibano,8971.73,129,38,4.6,5.1,16064
Cacimbas,paraibano,9287.68,97,11,3.6,4.8,7223
Caiçara,paraibano,9142.39,66,11,3.8,4.3,6602
Cajazeiras,paraibano,19683.9,453,290,4.9,5.1,63239
Cajazeirinhas,paraibano,13058.29,35,10,5,5.1,2740
Caldas Brandão,paraibano,12293.26,70,24,4,4.8,5753
Camalaú,paraibano,11845.53,59,15,-,5.8,6085
Campina Grande,paraibano,25066.11,2779,1354,4.9,5.2,419379
Capim,paraibano,11264.11,65,13,4.1,4.1,6970
Caraúbas,paraibano,10032.69,41,10,4.7,-,3944
Carrapateira,paraibano,11403.91,23,10,-,5.9,2312
Casserengue,paraibano,9298.49,59,18,5,5.3,6889
Catingueira,paraibano,10712.59,34,9,-,-,4491
Catolé do Rocha,paraibano,16405.68,212,128,4.9,5.3,30661
Caturité,paraibano,12589.86,54,15,3.8,-,5254
Conceição,paraibano,10983.17,208,64,4,4.7,18260
Condado,paraibano,13565.45,56,17,4.8,-,6451
Conde,paraibano,50786.89,258,59,4.3,4.9,27605
Congo,paraibano,12890.01,40,15,5.2,5,4933
Coremas,paraibano,16167.95,113,39,4.4,4.5,14683
Coxixola,paraibano,12328.94,26,10,-,6.6,1824
Cruz do Espírito Santo,paraibano,10863.92,172,49,3.5,4.1,17095
Cubati,paraibano,9765.34,51,23,5,5.7,7580
Cuité,paraibano,10842.53,170,93,4.6,5.8,19719
Cuité de Mamanguape,paraibano,11652.59,61,13,4.2,-,6251
Cuitegi,paraibano,9890.58,43,22,-,4.5,6730
Curral de Cima,paraibano,10659.61,49,13,4.3,-,5254
Curral Velho,paraibano,10679.09,20,8,4.5,5.2,2292
Damião,paraibano,9294.97,49,16,4.7,5.2,4982
Desterro,paraibano,8727.17,80,23,4.5,5,8067
Diamante,paraibano,9121.54,59,14,4.3,5,6299
Dona Inês,paraibano,9043.88,67,22,4.7,5.7,10380
Duas Estradas,paraibano,12615.62,48,10,4.7,6.6,3327
Emas,paraibano,11709.62,42,13,4.4,-,3011
Esperança,paraibano,15193.67,259,128,4.6,5.7,31231
Fagundes,paraibano,9419.68,144,34,3.9,-,11049
Frei Martinho,paraibano,10125.12,16,9,-,4.8,2846
Gado Bravo,paraibano,9190.85,85,18,4.1,4.9,8179
Guarabira,paraibano,30143.08,488,237,4.4,4.8,57484
Gurinhém,paraibano,10688.13,133,19,3.9,4.2,13766
Gurjão,paraibano,11022.19,26,11,-,5.2,3242
Ibiara,paraibano,9830.27,54,13,3.8,4.4,5631
Igaracy,paraibano,9976.11,55,24,4.2,-,5648
Imaculada,paraibano,8277.65,114,25,4.5,4.5,10392
Ingá,paraibano,10721.55,200,54,4.1,4.5,17692
Itabaiana,paraibano,13783.7,201,107,4.3,4.8,23182
Itaporanga,paraibano,13671.27,185,93,4.2,4.8,23940
Itapororoca,paraibano,10877.47,164,61,4.7,4.2,18382
Itatuba,paraibano,14022.61,83,20,3.9,4.4,10499
Jacaraú,paraibano,11414.24,131,35,4.6,5,14477
Jericó,paraibano,9844.33,79,17,3.9,4.8,7516
João Pessoa,paraibano,26936.78,4833,2245,4.6,5,833932
Joca Claudino,paraibano,12501.62,22,9,4.8,5.1,2539
Juarez Távora,paraibano,9124.1,72,12,-,4.9,7796
Juazeirinho,paraibano,11417.26,158,46,4.1,5.1,17007
Junco do Seridó,paraibano,13346.55,70,18,4.6,4.4,6793
Juripiranga,paraibano,10836.82,107,19,4.6,4.6,10012
Juru,paraibano,8876.57,71,15,5.6,5.7,9234
Lagoa,paraibano,11041.33,41,8,4.2,5.4,4415
Lagoa de Dentro,paraibano,10773.37,82,26,4.6,4.6,7819
Lagoa Seca,paraibano,11171.49,201,41,-,4.9,27730
Lastro,paraibano,10932.15,28,12,4.5,4.7,3162
Livramento,paraibano,9629.25,78,13,4.5,5.2,6877
Logradouro,paraibano,11041.91,45,13,4.6,5.8,4797
Lucena,paraibano,16716.6,124,32,3.5,4.2,12560
Mãe d'Água,paraibano,9680.02,30,8,4.9,4.7,3583
Malta,paraibano,13865.76,48,15,5.5,-,6046
Mamanguape,paraibano,17737.3,350,132,4.3,4.8,44599
Manaíra,paraibano,9230.77,94,14,4.7,5.3,10434
Marcação,paraibano,10938.7,136,51,-,4,8999
Mari,paraibano,11043.96,157,32,4.1,4.7,21512
Marizópolis,paraibano,12250.49,59,14,4.8,5.2,6705
Massaranduba,paraibano,9262,146,62,4.1,5,14139
Mataraca,paraibano,27832.84,76,18,5.1,4.9,8244
Matinhas,paraibano,11933.63,72,26,4.1,5.4,4571
Mato Grosso,paraibano,10801.82,29,8,5.1,-,2543
Maturéia,paraibano,9239.25,44,15,4.5,4.9,6433
Mogeiro,paraibano,12416.64,112,34,4.1,4.6,13899
Montadas,paraibano,9515.07,51,13,5.2,5.9,5812
Monte Horebe,paraibano,9877.56,44,12,4.2,5.6,4338
Monteiro,paraibano,18888.75,223,135,4.7,5.8,32277
Mulungu,paraibano,9852.41,96,29,4.3,5,8791
Natuba,paraibano,9136.26,86,27,4.1,5,8945
Nazarezinho,paraibano,9072.36,52,11,4.5,4.9,7203
Nova Floresta,paraibano,9384.37,78,20,4.4,5,9724
Nova Olinda,paraibano,9810.23,57,16,4.2,4.4,5787
Nova Palmeira,paraibano,9775.17,24,22,-,6.7,4259
Olho d'Água,paraibano,9665.68,61,15,4,4.8,6060
Olivedos,paraibano,10926.23,45,11,4.9,5.1,3580
Ouro Velho,paraibano,12542.35,23,7,4.7,-,2918
Parari,paraibano,12304.05,22,9,4.6,5.4,1720
Passagem,paraibano,11765.11,28,8,4.6,5.6,2463
Patos,paraibano,18329.13,692,347,4.5,5,103165
Paulista,paraibano,12651.17,77,27,5.1,-,11834
Pedra Branca,paraibano,9853.48,47,11,4.3,4.3,3739
Pedra Lavrada,paraibano,10067.2,49,22,4.9,6,6859
Pedras de Fogo,paraibano,19452.45,196,42,4.6,5,29662
Pedro Régis,paraibano,9315.19,49,11,4.8,-,5766
Piancó,paraibano,12776.52,154,58,3.9,4.5,16441
Picuí,paraibano,11378.13,150,98,4.9,5.7,18333
Pilar,paraibano,10111.37,137,26,4.4,4.7,12311
Pilões,paraibano,14641.92,68,20,3.8,4.8,6815
Pilõezinhos,paraibano,10373.93,36,8,3.6,4,5329
Pirpirituba,paraibano,8980.48,98,26,4.2,4.7,9340
Pitimbu,paraibano,22092.43,163,34,4.2,4.5,16751
Pocinhos,paraibano,15101.87,134,32,4.6,5.6,17469
Poço Dantas,paraibano,10376.63,61,7,-,5,3830
Poço de José de Moura,paraibano,10717.41,43,11,4.5,5.3,4006
Pombal,paraibano,14177.59,247,109,5.2,6,32473
Prata,paraibano,15167.11,47,16,4.5,-,3915
Princesa Isabel,paraibano,11215,121,87,5.2,6.6,21114
Puxinanã,paraibano,9987.45,112,63,4.7,-,14277
Queimadas,paraibano,13646.91,363,112,4.9,6.1,47658
Quixaba,paraibano,13312.85,20,8,4.4,5.5,1743
Remígio,paraibano,9080.26,153,56,4.6,5.3,17885
Riachão,paraibano,9997.84,33,7,4.2,4.8,2927
Riachão do Bacamarte,paraibano,10982.25,44,11,4.3,4.8,4690
Riachão do Poço,paraibano,12291.97,45,13,-,-,4738
Riacho de Santo Antônio,paraibano,15288.7,17,13,5,5.1,1955
Riacho dos Cavalos,paraibano,10822.34,74,11,5.1,5.4,8493
Rio Tinto,paraibano,13272.79,236,90,4.1,4.5,24581
Salgadinho,paraibano,8413.51,40,8,-,-,3355
Salgado de São Félix,paraibano,10610.87,130,30,4.3,-,11505
Santa Cecília,paraibano,10059.66,51,21,-,4.6,7670
Santa Cruz,paraibano,9441.21,37,14,5.1,5.3,5947
Santa Helena,paraibano,10620.57,48,22,5.1,4.9,5865
Santa Inês,paraibano,10235.53,48,9,4.3,5.1,3227
Santa Luzia,paraibano,24065.43,109,51,5.1,5.5,14959
Santa Rita,paraibano,18949.73,941,323,4,4,149910
Santa Teresinha,paraibano,12569.44,47,11,4.3,-,4402
Santana de Mangueira,paraibano,10012.95,70,24,4.3,5.3,5010
Santana dos Garrotes,paraibano,9671.89,66,13,4.4,4.3,6569
Santo André,paraibano,11758.94,18,7,5.3,-,2622
São Bentinho,paraibano,11957.9,27,7,4.3,4.8,4327
São Bento,paraibano,16364.14,233,68,5.1,5.2,32235
São Domingos,paraibano,11595.69,27,10,4.5,-,2595
São Domingos do Cariri,paraibano,10850.34,35,18,5.7,6.5,2585
São Francisco,paraibano,11583.67,23,8,5.1,6.5,3137
São João do Cariri,paraibano,13260.21,69,18,-,5.1,4226
São João do Rio do Peixe,paraibano,12515.6,132,42,4.7,5.3,17964
São João do Tigre,paraibano,9283.18,49,9,4.6,4.8,4263
São José da Lagoa Tapada,paraibano,9440.27,58,15,4.9,5,7126
São José de Caiana,paraibano,8697.78,48,20,4.4,6.1,5034
São José de Espinharas,paraibano,11844.18,42,11,5.1,5.1,4083
São José de Piranhas,paraibano,11289.98,132,43,-,5.2,19067
São José de Princesa,paraibano,8730.43,30,9,4.6,-,3416
São José do Bonfim,paraibano,8943.38,33,10,4.7,-,3242
São José do Brejo do Cruz,paraibano,15975.52,19,8,5.5,5.6,1699
São José do Sabugi,paraibano,30132.81,33,8,4.3,6.3,4138
São José dos Cordeiros,paraibano,10237.66,37,14,4.7,5.3,3411
São José dos Ramos,paraibano,14343.99,77,18,4.4,-,5891
São Mamede,paraibano,10705.26,66,13,4.4,6.2,7470
São Miguel de Taipu,paraibano,11090.71,91,28,4,5,7066
São Sebastião de Lagoa de Roça,paraibano,8970.65,91,34,4.5,4.7,11040
São Sebastião do Umbuzeiro,paraibano,11433.3,25,10,4.7,5.7,3279
Sapé,paraibano,12756.07,322,110,4.3,4.9,51306
São Vicente do Seridó,paraibano,8232.3,105,29,4.5,5,10291
Serra Branca,paraibano,10694.7,119,51,4.4,4.9,13614
Serra da Raiz,paraibano,11892.76,37,10,4.2,5.4,3094
Serra Grande,paraibano,11360.25,22,8,-,6.2,2942
Serra Redonda,paraibano,10172.58,85,30,4.4,4.4,6828
Serraria,paraibano,11212.51,51,12,-,4.6,4885
Sertãozinho,paraibano,10612.64,62,25,4.5,5.4,5054
Sobrado,paraibano,14360.58,67,11,3.7,4.8,8236
Solânea,paraibano,13553.35,205,46,4.5,5.2,26774
Soledade,paraibano,13377.14,117,37,-,4.9,13968
Sossêgo,paraibano,10663.42,37,11,4.9,4.5,3345
Sousa,paraibano,18836.93,515,286,4.8,5.5,67259
Sumé,paraibano,11749.92,131,43,4.8,5,17166
Tacima,paraibano,8317.81,69,23,4.3,4.5,8010
Taperoá,paraibano,8977.25,138,41,4.1,5,14068
Tavares,paraibano,9458.45,131,28,4.9,5.5,14101
Teixeira,paraibano,11027.51,120,32,4.7,5.1,14631
Tenório,paraibano,11111.22,34,9,4.7,4.5,2966
Triunfo,paraibano,9233.39,78,23,4.6,4.7,9892
Uiraúna,paraibano,12537.15,146,44,4.6,4.9,14930
Umbuzeiro,paraibano,9193.27,88,27,4.3,5.1,9124
Várzea,paraibano,13087.54,24,6,5.4,6.7,2668
Vieirópolis,paraibano,9766.21,41,10,4.9,6.2,4864
Vista Serrana,paraibano,10231.1,25,6,-,-,3641
Zabelê,paraibano,11882.14,23,9,4.5,5,2228
